gene_id,novel_isoform_count,gene_name
16:32835000,1,NA
16:33062000,1,NA
16:31776000,1,NA
16:31691000,1,NA
16:33320000,1,NA
16:24811000,1,NA
11:109823000,1,NA
11:115474000,1,NA
16:87392000,1,NA
11:106696000,1,NA
11:106853000,1,NA
11:106914000,1,NA
11:105824000,1,NA
11:105241000,1,NA
11:102368000,1,NA
11:103110000,1,NA
11:102498000,1,NA
11:102729000,1,NA
11:102731000,1,NA
11:102912000,1,NA
11:102959000,1,NA
11:103007000,1,NA
11:103008000,1,NA
11:103222000,1,NA
11:105070000,1,NA
11:106710000,1,NA
11:106680000,1,NA
11:103541000,1,NA
11:106672000,1,NA
11:100347000,1,NA
11:102180000,1,NA
11:102367000,1,NA
11:106925000,1,NA
11:106391000,1,NA
11:105880000,1,NA
11:105919000,1,NA
11:105949000,1,NA
11:105964000,1,NA
11:106047000,1,NA
11:106054000,1,NA
11:106090000,1,NA
11:106524000,1,NA
11:105818000,1,NA
11:106553000,1,NA
11:103255000,1,NA
11:103567000,1,NA
10:99933000,1,NA
11:49109000,1,NA
11:49543000,1,NA
11:49562000,1,NA
11:49564000,1,NA
11:49729000,1,NA
11:4635000,1,NA
11:45720000,1,NA
11:50062000,1,NA
11:41390000,1,NA
11:35729000,1,NA
11:3589000,1,NA
11:3640000,1,NA
11:3850000,1,NA
11:3857000,1,NA
11:4090000,1,NA
11:4091000,1,NA
11:49153000,1,NA
11:49056000,1,NA
11:103770000,1,NA
11:46037000,1,NA
11:104393000,1,NA
11:104561000,1,NA
11:105031000,1,NA
11:11880000,1,NA
11:118971000,1,NA
10:93083000,1,NA
11:48877000,1,NA
11:46861000,1,NA
11:46864000,1,NA
11:4715000,1,NA
11:4716000,1,NA
11:48697000,1,NA
11:48756000,1,NA
11:48832000,1,NA
11:48987000,1,NA
10:99936000,1,NA
10:99435000,1,NA
11:106955000,1,NA
11:116744000,1,NA
11:115475000,1,NA
11:115913000,1,NA
11:115505000,1,NA
11:115534000,1,NA
11:115547000,1,NA
11:115615000,1,NA
11:115746000,1,NA
11:115796000,1,NA
11:115855000,1,NA
11:115951000,1,NA
11:116567000,1,NA
11:116015000,1,NA
11:116033000,1,NA
11:116068000,1,NA
11:116111000,1,NA
11:116694000,1,NA
11:118380000,1,NA
11:116428000,1,NA
11:118378000,1,NA
11:117856000,1,NA
11:116765000,1,NA
11:116766000,1,NA
11:116956000,1,NA
11:117049000,1,NA
11:117252000,1,NA
11:117651000,1,NA
11:117706000,1,NA
11:118150000,1,NA
11:116740000,1,NA
11:118191000,1,NA
11:118192000,1,NA
11:118297000,1,NA
11:118340000,1,NA
11:118342000,1,NA
11:116178000,1,NA
11:116535000,1,NA
10:99033000,1,NA
11:102043000,1,NA
11:100671000,1,NA
11:100656000,1,NA
11:102327000,1,NA
10:95880000,1,NA
10:93615000,1,NA
10:93695000,1,NA
10:94426000,1,NA
10:94625000,1,NA
10:95159000,1,NA
10:95378000,1,NA
10:95381000,1,NA
10:9633000,1,NA
11:100506000,1,NA
10:98859000,1,NA
10:98861000,1,NA
11:102179000,1,NA
11:101863000,1,NA
11:107081000,1,NA
11:101861000,1,NA
11:106926000,1,NA
11:118929000,1,NA
11:101324000,1,NA
11:100777000,1,NA
11:100987000,1,NA
11:101081000,1,NA
11:101221000,1,NA
11:101225000,1,NA
11:101229000,1,NA
11:101230000,1,NA
11:101360000,1,NA
11:100657000,1,NA
11:101472000,1,NA
11:101557000,1,NA
11:101579000,1,NA
16:88257000,1,NA
16:87230000,1,NA
17:71626000,1,NA
16:91304000,1,NA
15:81536000,1,NA
16:13583000,1,NA
16:11481000,1,NA
16:12161000,1,NA
16:12965000,1,NA
16:13235000,1,NA
16:13355000,1,NA
16:13507000,1,NA
16:13521000,1,NA
16:13651000,1,NA
16:10972000,1,NA
16:13764000,1,NA
16:13927000,1,NA
16:13949000,1,NA
16:14292000,1,NA
16:90811000,1,NA
17:47167000,1,NA
16:15462000,1,NA
17:47162000,1,NA
17:4676000,1,NA
17:45877000,1,NA
17:46342000,1,NA
17:46480000,1,NA
17:46482000,1,NA
17:46554000,1,NA
17:46614000,1,NA
17:46725000,1,NA
17:46811000,1,NA
17:47239000,1,NA
17:46857000,1,NA
17:46875000,1,NA
17:47023000,1,NA
17:47083000,1,NA
17:47084000,1,NA
16:15441000,1,NA
16:15659000,1,NA
17:47672000,1,NA
16:10619000,1,NA
16:15706000,1,NA
16:16744000,1,NA
15:98436000,1,NA
16:20521000,1,NA
16:19942000,1,NA
16:19947000,1,NA
16:19994000,1,NA
16:20050000,1,NA
16:20219000,1,NA
16:20327000,1,NA
16:20509000,1,NA
16:21328000,1,NA
16:19017000,1,NA
16:21463000,1,NA
16:21467000,1,NA
16:10777000,1,NA
16:10561000,1,NA
16:11006000,1,NA
16:10242000,1,NA
16:10961000,1,NA
16:16234000,1,NA
15:99215000,1,NA
15:98487000,1,NA
15:98543000,1,NA
15:98567000,1,NA
15:98729000,1,NA
15:98801000,1,NA
15:98884000,1,NA
15:98901000,1,NA
15:99618000,1,NA
16:10954000,1,NA
15:99676000,1,NA
15:99913000,1,NA
16:10099000,1,NA
17:45831000,1,NA
17:47911000,1,NA
16:21624000,1,NA
17:36569000,1,NA
17:37383000,1,NA
17:38022000,1,NA
17:40153000,1,NA
17:40154000,1,NA
17:40156000,1,NA
17:41272000,1,NA
17:36505000,1,NA
17:42818000,1,NA
17:43103000,1,NA
17:43104000,1,NA
17:43203000,1,NA
17:43204000,1,NA
17:43399000,1,NA
17:43767000,1,NA
17:36542000,1,NA
17:37168000,1,NA
17:41271000,1,NA
17:44589000,1,NA
17:35469000,1,NA
17:7222000,1,NA
17:73157000,1,NA
17:73248000,1,NA
17:73546000,1,NA
17:74191000,1,NA
17:79397000,1,NA
17:74634000,1,NA
17:75834000,1,NA
17:76591000,1,NA
17:78682000,1,NA
17:78800000,1,NA
17:78957000,1,NA
17:79256000,1,NA
17:56410000,1,NA
17:55799000,1,NA
17:36470000,1,NA
17:35966000,1,NA
17:54173000,1,NA
17:55798000,1,NA
17:47934000,1,NA
17:47994000,1,NA
17:48178000,1,NA
17:48659000,1,NA
17:48693000,1,NA
17:4958000,1,NA
17:49763000,1,NA
17:53844000,1,NA
17:47722000,1,NA
17:5392000,1,NA
17:5393000,1,NA
17:5394000,1,NA
17:53977000,1,NA
17:53979000,1,NA
17:54136000,1,NA
17:50300000,1,NA
17:45753000,1,NA
17:35555000,1,NA
17:43768000,1,NA
17:35603000,1,NA
17:35648000,1,NA
17:35763000,1,NA
17:35785000,1,NA
17:35789000,1,NA
17:35793000,1,NA
17:36144000,1,NA
17:36348000,1,NA
17:36145000,1,NA
17:36168000,1,NA
17:36177000,1,NA
17:36210000,1,NA
17:36299000,1,NA
17:36314000,1,NA
17:36324000,1,NA
16:21580000,1,NA
16:21626000,1,NA
16:87173000,1,NA
15:89653000,1,NA
15:89170000,1,NA
15:89171000,1,NA
15:89173000,1,NA
15:89413000,1,NA
15:89444000,1,NA
15:89466000,1,NA
16:22050000,1,NA
16:22690000,1,NA
16:90733000,1,NA
16:56009000,1,NA
16:51182000,1,NA
16:5132000,1,NA
16:52027000,1,NA
16:52069000,1,NA
16:55357000,1,NA
15:88984000,1,NA
15:88983000,1,NA
16:55854000,1,NA
15:8663000,1,NA
15:96309000,1,NA
15:96316000,1,NA
3:137622000,1,NA
15:97142000,1,NA
15:97689000,1,NA
15:90587000,1,NA
15:90117000,1,NA
15:85741000,1,NA
15:88571000,1,NA
15:85742000,1,NA
15:85783000,1,NA
15:86001000,1,NA
15:86021000,1,NA
15:86023000,1,NA
15:86382000,1,NA
16:55827000,1,NA
16:56974000,1,NA
15:95873000,1,NA
16:45550000,1,NA
16:49733000,1,NA
16:45973000,1,NA
16:4692000,1,NA
16:4752000,1,NA
16:48744000,1,NA
16:4903000,1,NA
16:49584000,1,NA
16:49731000,1,NA
16:60264000,1,NA
16:62552000,1,NA
16:44560000,1,NA
16:89887000,1,NA
16:8674000,1,NA
16:8676000,1,NA
16:87164000,1,NA
16:4584000,1,NA
16:45202000,1,NA
16:50012000,1,NA
16:44961000,1,NA
16:56989000,1,NA
16:57211000,1,NA
16:57391000,1,NA
16:57444000,1,NA
16:58288000,1,NA
16:58553000,1,NA
16:59312000,1,NA
16:5062000,1,NA
16:49735000,1,NA
16:62538000,1,NA
16:45566000,1,NA
16:44913000,1,NA
16:44914000,1,NA
16:44947000,1,NA
16:44948000,1,NA
15:96300000,1,NA
15:90371000,1,NA
16:21715000,1,NA
16:18040000,1,NA
16:18224000,1,NA
16:18225000,1,NA
15:98466000,1,NA
15:98416000,1,NA
16:22113000,1,NA
15:84054000,1,NA
15:83037000,1,NA
15:83110000,1,NA
15:83183000,1,NA
15:8319000,1,NA
15:83266000,1,NA
15:83289000,1,NA
15:83459000,1,NA
15:84072000,1,NA
15:82692000,1,NA
16:18118000,1,NA
16:17658000,1,NA
15:84099000,1,NA
16:17542000,1,NA
16:21866000,1,NA
16:19719000,1,NA
16:18596000,1,NA
16:16865000,1,NA
16:17460000,1,NA
16:16969000,1,NA
16:16970000,1,NA
16:16971000,1,NA
16:17080000,1,NA
16:17100000,1,NA
16:17247000,1,NA
16:17363000,1,NA
16:17462000,1,NA
16:18241000,1,NA
16:17469000,1,NA
15:84073000,1,NA
15:84160000,1,NA
15:95872000,1,NA
15:8188000,1,NA
15:82088000,1,NA
15:82089000,1,NA
15:82201000,1,NA
15:82236000,1,NA
15:85169000,1,NA
15:85527000,1,NA
15:98032000,1,NA
15:95871000,1,NA
15:91030000,1,NA
15:91031000,1,NA
15:9202000,1,NA
15:93137000,1,NA
15:93388000,1,NA
15:93396000,1,NA
15:94475000,1,NA
15:81925000,1,NA
15:81876000,1,NA
15:84437000,1,NA
15:82249000,1,NA
15:84590000,1,NA
15:84828000,1,NA
15:84945000,1,NA
15:82999000,1,NA
15:82254000,1,NA
15:85347000,1,NA
15:81834000,1,NA
15:81572000,1,NA
15:81679000,1,NA
15:81680000,1,NA
15:81710000,1,NA
15:81732000,1,NA
15:81733000,1,NA
15:81735000,1,NA
15:81856000,1,NA
3:137619000,1,NA
2:85851000,1,NA
3:138164000,1,NA
18:32236000,1,NA
18:30399000,1,NA
18:30401000,1,NA
18:30627000,1,NA
18:31915000,1,NA
18:32051000,1,NA
18:32230000,1,NA
18:34477000,1,NA
18:32369000,1,NA
3:138609000,1,NA
18:32661000,1,NA
18:32952000,1,NA
18:33332000,1,NA
18:34452000,1,NA
18:34455000,1,NA
18:65611000,1,NA
18:66113000,1,NA
18:27733000,1,NA
18:26136000,1,NA
18:32070000,1,NA
18:25612000,1,NA
18:34997000,1,NA
18:35014000,1,NA
18:35939000,1,NA
18:35994000,1,NA
18:36421000,1,NA
18:34573000,1,NA
18:36422000,1,NA
18:36424000,1,NA
18:36433000,1,NA
18:36434000,1,NA
18:36637000,1,NA
18:36692000,1,NA
18:36858000,1,NA
18:34765000,1,NA
18:34478000,1,NA
19:40727000,1,NA
19:31961000,1,NA
19:29365000,1,NA
19:24896000,1,NA
19:24071000,1,NA
19:24072000,1,NA
19:24266000,1,NA
19:24453000,1,NA
19:24853000,1,NA
19:24854000,1,NA
19:25646000,1,NA
19:28992000,1,NA
19:25655000,1,NA
19:27227000,1,NA
19:27231000,1,NA
19:27366000,1,NA
19:28740000,1,NA
19:28889000,1,NA
19:28944000,1,NA
19:23183000,1,NA
19:32803000,1,NA
19:29583000,1,NA
19:28994000,1,NA
19:29692000,1,NA
19:29937000,1,NA
19:30070000,1,NA
19:31063000,1,NA
19:3136000,1,NA
19:32100000,1,NA
19:29289000,1,NA
19:32492000,1,NA
19:3256000,1,NA
19:32649000,1,NA
19:32650000,1,NA
19:32798000,1,NA
19:32799000,1,NA
19:32800000,1,NA
19:29326000,1,NA
18:34995000,1,NA
18:34971000,1,NA
18:34870000,1,NA
18:58813000,1,NA
18:6025000,1,NA
18:60525000,1,NA
18:61392000,1,NA
18:60691000,1,NA
18:60727000,1,NA
18:60817000,1,NA
18:60819000,1,NA
18:61263000,1,NA
18:61264000,1,NA
18:61325000,1,NA
18:38070000,1,NA
18:37973000,1,NA
18:66032000,1,NA
18:21118000,1,NA
18:14758000,1,NA
18:5951000,1,NA
18:58811000,1,NA
18:16707000,1,NA
18:58053000,1,NA
18:62681000,1,NA
18:61624000,1,NA
18:63132000,1,NA
18:6360000,1,NA
18:63797000,1,NA
18:64122000,1,NA
18:6435000,1,NA
18:64589000,1,NA
18:64662000,1,NA
18:61720000,1,NA
18:61529000,1,NA
18:56886000,1,NA
18:60442000,1,NA
18:56908000,1,NA
18:5772000,1,NA
18:15966000,1,NA
18:19567000,1,NA
18:36339000,1,NA
17:87387000,1,NA
17:87688000,1,NA
17:87741000,1,NA
17:88298000,1,NA
17:88796000,1,NA
18:12114000,1,NA
17:88895000,1,NA
17:88955000,1,NA
17:90215000,1,NA
17:90986000,1,NA
17:95000000,1,NA
18:10815000,1,NA
18:11971000,1,NA
18:24418000,1,NA
18:25468000,1,NA
18:37620000,1,NA
17:87590000,1,NA
17:87307000,1,NA
18:20817000,1,NA
17:87305000,1,NA
18:20818000,1,NA
18:20950000,1,NA
18:21119000,1,NA
18:13125000,1,NA
18:21788000,1,NA
18:24024000,1,NA
18:24026000,1,NA
18:24078000,1,NA
18:24097000,1,NA
18:24145000,1,NA
18:24237000,1,NA
18:14704000,1,NA
18:12888000,1,NA
18:24638000,1,NA
17:88700000,1,NA
19:32802000,1,NA
19:32945000,1,NA
19:23118000,1,NA
19:21661000,1,NA
19:21915000,1,NA
19:12442000,1,NA
19:11921000,1,NA
18:90560000,1,NA
19:10036000,1,NA
18:90561000,1,NA
18:90609000,1,NA
18:9312000,1,NA
18:9314000,1,NA
18:9877000,1,NA
18:9993000,1,NA
18:9995000,1,NA
19:10040000,1,NA
19:11754000,1,NA
19:10222000,1,NA
19:21662000,1,NA
19:21631000,1,NA
19:10524000,1,NA
19:21368000,1,NA
18:84964000,1,NA
18:89243000,1,NA
19:22418000,1,NA
19:16593000,1,NA
19:14425000,1,NA
19:15933000,1,NA
19:16141000,1,NA
19:16243000,1,NA
19:16360000,1,NA
19:16362000,1,NA
19:16365000,1,NA
19:17670000,1,NA
19:11969000,1,NA
19:20544000,1,NA
19:21258000,1,NA
19:10428000,1,NA
19:10547000,1,NA
18:75491000,1,NA
2:130562000,1,NA
2:130870000,1,NA
2:130899000,1,NA
2:130989000,1,NA
2:128601000,1,NA
2:127633000,1,NA
2:131089000,1,NA
2:126732000,1,NA
2:125516000,1,NA
2:125578000,1,NA
2:125672000,1,NA
2:126435000,1,NA
2:126551000,1,NA
2:126601000,1,NA
2:126633000,1,NA
2:126733000,1,NA
2:130758000,1,NA
2:130548000,1,NA
19:10691000,1,NA
2:130395000,1,NA
19:11370000,1,NA
19:11459000,1,NA
1:16639000,1,NA
1:167050000,1,NA
2:180360000,1,NA
2:129473000,1,NA
2:128644000,1,NA
2:128695000,1,NA
2:128768000,1,NA
2:128860000,1,NA
2:128935000,1,NA
2:128937000,1,NA
2:129012000,1,NA
2:129673000,1,NA
2:128003000,1,NA
18:75564000,1,NA
18:74911000,1,NA
19:3944000,1,NA
19:37246000,1,NA
19:34645000,1,NA
19:32951000,1,NA
19:32952000,1,NA
19:3365000,1,NA
19:34218000,1,NA
19:3435000,1,NA
19:34469000,1,NA
19:34565000,1,NA
19:3504000,1,NA
19:37236000,1,NA
19:3531000,1,NA
19:3634000,1,NA
19:36437000,1,NA
19:36596000,1,NA
19:36870000,1,NA
19:32948000,1,NA
19:37428000,1,NA
19:37235000,1,NA
19:40611000,1,NA
19:3767000,1,NA
19:37672000,1,NA
19:38105000,1,NA
19:3867000,1,NA
19:38673000,1,NA
19:38771000,1,NA
19:38776000,1,NA
19:3958000,1,NA
19:37247000,1,NA
19:3963000,1,NA
19:40185000,1,NA
19:40287000,1,NA
19:40304000,1,NA
19:40333000,1,NA
19:40338000,1,NA
19:36989000,1,NA
19:23145000,1,NA
18:74413000,1,NA
18:8417000,1,NA
18:77242000,1,NA
18:85158000,1,NA
18:69817000,1,NA
18:67339000,1,NA
18:67340000,1,NA
18:6760000,1,NA
18:68393000,1,NA
18:68398000,1,NA
18:68539000,1,NA
18:69726000,1,NA
18:70908000,1,NA
18:77029000,1,NA
18:7348000,1,NA
18:73725000,1,NA
18:73771000,1,NA
18:77971000,1,NA
18:84114000,1,NA
19:22420000,1,NA
18:84107000,1,NA
18:67200000,1,NA
18:8137000,1,NA
18:78077000,1,NA
18:7926000,1,NA
18:80003000,1,NA
18:80162000,1,NA
18:80169000,1,NA
18:80649000,1,NA
18:80691000,1,NA
18:82357000,1,NA
18:77719000,1,NA
18:82576000,1,NA
18:82716000,1,NA
18:83022000,1,NA
18:84105000,1,NA
18:6201000,1,NA
18:61977000,1,NA
18:61863000,1,NA
1:105961000,1,NA
19:40729000,1,NA
1:153639000,1,NA
1:152393000,1,NA
1:152712000,1,NA
1:152998000,1,NA
1:153094000,1,NA
1:153182000,1,NA
1:153378000,1,NA
1:153638000,1,NA
1:153784000,1,NA
1:151597000,1,NA
1:153785000,1,NA
1:154973000,1,NA
1:155003000,1,NA
1:155088000,1,NA
1:106648000,1,NA
19:4934000,1,NA
1:155653000,1,NA
19:4918000,1,NA
19:47633000,1,NA
19:46691000,1,NA
19:4675000,1,NA
19:46871000,1,NA
19:47119000,1,NA
19:47120000,1,NA
19:47248000,1,NA
19:47631000,1,NA
19:4809000,1,NA
19:4938000,1,NA
19:4828000,1,NA
19:4835000,1,NA
19:4844000,1,NA
19:4850000,1,NA
19:4870000,1,NA
1:155205000,1,NA
1:155720000,1,NA
19:50018000,1,NA
1:150237000,1,NA
1:155880000,1,NA
1:155882000,1,NA
1:138412000,1,NA
1:165001000,1,NA
1:16171000,1,NA
1:162425000,1,NA
1:162499000,1,NA
1:163072000,1,NA
1:163743000,1,NA
1:164092000,1,NA
1:16413000,1,NA
1:165157000,1,NA
1:161553000,1,NA
1:165476000,1,NA
1:165602000,1,NA
1:151219000,1,NA
1:150236000,1,NA
1:152392000,1,NA
1:149705000,1,NA
1:151345000,1,NA
1:155881000,1,NA
1:143626000,1,NA
1:139855000,1,NA
1:143366000,1,NA
1:143437000,1,NA
1:143522000,1,NA
1:143523000,1,NA
1:143525000,1,NA
1:143526000,1,NA
1:145917000,1,NA
1:151239000,1,NA
1:146184000,1,NA
1:146600000,1,NA
1:14936000,1,NA
19:46690000,1,NA
19:5094000,1,NA
1:165688000,1,NA
19:44023000,1,NA
19:44379000,1,NA
19:44396000,1,NA
19:44563000,1,NA
19:4475000,1,NA
19:4495000,1,NA
19:45043000,1,NA
19:43719000,1,NA
19:45044000,1,NA
19:45438000,1,NA
19:45540000,1,NA
19:45738000,1,NA
19:45805000,1,NA
19:46072000,1,NA
19:46292000,1,NA
19:4391000,1,NA
19:44295000,1,NA
19:44972000,1,NA
19:46644000,1,NA
1:106321000,1,NA
19:6581000,1,NA
19:7175000,1,NA
19:7203000,1,NA
19:7254000,1,NA
19:7515000,1,NA
19:8786000,1,NA
19:7516000,1,NA
19:7563000,1,NA
19:7569000,1,NA
19:7574000,1,NA
19:7645000,1,NA
19:8011000,1,NA
19:8684000,1,NA
19:56430000,1,NA
19:55841000,1,NA
19:4367000,1,NA
19:4182000,1,NA
19:55497000,1,NA
19:55730000,1,NA
19:5119000,1,NA
19:5157000,1,NA
19:5183000,1,NA
19:5184000,1,NA
19:53234000,1,NA
19:53361000,1,NA
19:53904000,1,NA
19:54021000,1,NA
19:5090000,1,NA
19:5465000,1,NA
19:5472000,1,NA
19:55056000,1,NA
19:5506000,1,NA
19:55287000,1,NA
19:5545000,1,NA
19:54020000,1,NA
19:46645000,1,NA
19:40836000,1,NA
19:46365000,1,NA
19:4111000,1,NA
19:41199000,1,NA
19:41261000,1,NA
19:41515000,1,NA
19:41555000,1,NA
19:41755000,1,NA
19:42059000,1,NA
19:4355000,1,NA
19:42110000,1,NA
19:4234000,1,NA
19:42579000,1,NA
19:42743000,1,NA
19:4311000,1,NA
19:4336000,1,NA
19:43488000,1,NA
1:165660000,1,NA
1:165692000,1,NA
18:61829000,1,NA
1:133842000,1,NA
1:133310000,1,NA
1:133547000,1,NA
1:133630000,1,NA
1:133837000,1,NA
1:133838000,1,NA
1:133839000,1,NA
19:40835000,1,NA
19:40728000,1,NA
1:166773000,1,NA
18:50096000,1,NA
18:46742000,1,NA
18:46743000,1,NA
18:4681000,1,NA
18:46865000,1,NA
18:47040000,1,NA
1:133067000,1,NA
1:133066000,1,NA
18:49830000,1,NA
1:133035000,1,NA
1:135364000,1,NA
1:135366000,1,NA
1:135567000,1,NA
1:135797000,1,NA
1:136195000,1,NA
1:134128000,1,NA
1:133975000,1,NA
1:132393000,1,NA
1:133065000,1,NA
1:132752000,1,NA
1:132842000,1,NA
1:132867000,1,NA
1:132913000,1,NA
1:132954000,1,NA
1:132963000,1,NA
18:48181000,1,NA
18:50224000,1,NA
1:135310000,1,NA
18:38973000,1,NA
18:44557000,1,NA
18:40638000,1,NA
18:4195000,1,NA
18:42474000,1,NA
18:42708000,1,NA
18:43307000,1,NA
18:43454000,1,NA
18:4396000,1,NA
18:56584000,1,NA
18:56856000,1,NA
18:37976000,1,NA
18:62637000,1,NA
18:61721000,1,NA
18:61779000,1,NA
18:61780000,1,NA
18:40337000,1,NA
18:38971000,1,NA
18:46368000,1,NA
18:38719000,1,NA
18:50391000,1,NA
18:51436000,1,NA
18:51437000,1,NA
18:52650000,1,NA
18:53814000,1,NA
18:54088000,1,NA
18:55021000,1,NA
18:46634000,1,NA
18:45202000,1,NA
18:5668000,1,NA
18:39543000,1,NA
18:38105000,1,NA
18:38318000,1,NA
18:38329000,1,NA
18:38400000,1,NA
1:135362000,1,NA
1:134003000,1,NA
1:166144000,1,NA
1:159905000,1,NA
1:160046000,1,NA
1:160801000,1,NA
1:139103000,1,NA
1:13695000,1,NA
1:106649000,1,NA
1:130366000,1,NA
1:127414000,1,NA
1:127415000,1,NA
1:127732000,1,NA
1:127735000,1,NA
1:127871000,1,NA
1:128205000,1,NA
1:128515000,1,NA
1:130651000,1,NA
1:125523000,1,NA
1:160027000,1,NA
1:159903000,1,NA
1:131222000,1,NA
1:157395000,1,NA
1:166221000,1,NA
1:161644000,1,NA
1:160915000,1,NA
1:155928000,1,NA
1:156962000,1,NA
1:155943000,1,NA
1:156257000,1,NA
1:156353000,1,NA
1:156476000,1,NA
1:156481000,1,NA
1:156506000,1,NA
1:156631000,1,NA
1:157272000,1,NA
1:160830000,1,NA
1:157316000,1,NA
1:131214000,1,NA
1:131640000,1,NA
1:135156000,1,NA
1:118794000,1,NA
1:119454000,1,NA
1:119472000,1,NA
1:119580000,1,NA
1:119991000,1,NA
1:131957000,1,NA
1:132391000,1,NA
1:13634000,1,NA
1:134682000,1,NA
1:134129000,1,NA
1:134273000,1,NA
1:134275000,1,NA
1:134360000,1,NA
1:134418000,1,NA
1:134434000,1,NA
1:134560000,1,NA
1:119013000,1,NA
1:118227000,1,NA
1:131776000,1,NA
1:120041000,1,NA
1:131859000,1,NA
1:131863000,1,NA
1:131913000,1,NA
1:126636000,1,NA
1:121481000,1,NA
1:13209000,1,NA
1:114378000,1,NA
1:106698000,1,NA
1:106965000,1,NA
1:107534000,1,NA
1:107535000,1,NA
1:109596000,1,NA
1:111786000,1,NA
1:11373000,1,NA
1:118226000,1,NA
2:127546000,1,NA
2:126909000,1,NA
2:126980000,1,NA
1:170532000,1,NA
1:170786000,1,NA
1:170970000,1,NA
1:171104000,1,NA
1:171168000,1,NA
1:171169000,1,NA
1:176849000,1,NA
1:177278000,1,NA
1:182334000,1,NA
1:181642000,1,NA
1:180996000,1,NA
1:181000000,1,NA
1:181002000,1,NA
1:181003000,1,NA
1:181004000,1,NA
1:181014000,1,NA
1:170534000,1,NA
1:171185000,1,NA
1:181723000,1,NA
1:170142000,1,NA
1:174661000,1,NA
1:174886000,1,NA
1:175509000,1,NA
1:176662000,1,NA
1:171532000,1,NA
1:171237000,1,NA
1:17700000,1,NA
1:170020000,1,NA
1:167981000,1,NA
1:167982000,1,NA
1:167983000,1,NA
1:168428000,1,NA
1:169520000,1,NA
1:169523000,1,NA
1:169799000,1,NA
1:181069000,1,NA
1:180914000,1,NA
1:173684000,1,NA
1:179990000,1,NA
1:179994000,1,NA
1:180054000,1,NA
1:180252000,1,NA
1:180582000,1,NA
1:180610000,1,NA
1:180694000,1,NA
1:180695000,1,NA
1:4966000,1,NA
1:51341000,1,NA
2:103890000,1,NA
1:87377000,1,NA
1:85778000,1,NA
1:85941000,1,NA
1:86470000,1,NA
1:86836000,1,NA
1:180765000,1,NA
1:179453000,1,NA
1:181730000,1,NA
1:179347000,1,NA
1:181731000,1,NA
1:181958000,1,NA
1:182103000,1,NA
1:182141000,1,NA
1:182143000,1,NA
1:182289000,1,NA
1:180920000,1,NA
1:180802000,1,NA
1:178079000,1,NA
1:179572000,1,NA
1:178127000,1,NA
1:178148000,1,NA
1:178155000,1,NA
1:178156000,1,NA
1:178310000,1,NA
1:173747000,1,NA
1:173159000,1,NA
1:87167000,1,NA
1:191094000,1,NA
1:191353000,1,NA
1:30979000,1,NA
1:31655000,1,NA
1:183057000,1,NA
1:45074000,1,NA
1:43086000,1,NA
1:43154000,1,NA
1:43786000,1,NA
1:43928000,1,NA
1:44041000,1,NA
1:44183000,1,NA
1:44835000,1,NA
1:45388000,1,NA
1:40504000,1,NA
1:45413000,1,NA
1:191133000,1,NA
1:191091000,1,NA
1:45778000,1,NA
1:190505000,1,NA
1:191642000,1,NA
1:191514000,1,NA
1:31094000,1,NA
1:186948000,1,NA
1:183807000,1,NA
1:184464000,1,NA
1:184604000,1,NA
1:185016000,1,NA
1:185089000,1,NA
1:185820000,1,NA
1:186481000,1,NA
1:187082000,1,NA
1:191511000,1,NA
1:188703000,1,NA
1:189608000,1,NA
1:4561000,1,NA
1:45947000,1,NA
1:171332000,1,NA
1:37456000,1,NA
1:38026000,1,NA
1:39590000,1,NA
1:40064000,1,NA
1:183806000,1,NA
1:182724000,1,NA
1:51340000,1,NA
1:172211000,1,NA
1:171538000,1,NA
1:171962000,1,NA
1:171963000,1,NA
1:171971000,1,NA
1:172024000,1,NA
1:172099000,1,NA
1:172206000,1,NA
1:172458000,1,NA
1:37478000,1,NA
1:37449000,1,NA
1:46846000,1,NA
1:36831000,1,NA
1:4758000,1,NA
1:49594000,1,NA
1:42739000,1,NA
1:40354000,1,NA
1:33492000,1,NA
1:36587000,1,NA
1:33831000,1,NA
1:34852000,1,NA
1:34918000,1,NA
1:36182000,1,NA
1:36303000,1,NA
1:36462000,1,NA
1:36567000,1,NA
1:36737000,1,NA
1:40065000,1,NA
1:86837000,1,NA
1:87238000,1,NA
1:24804000,1,NA
1:51789000,1,NA
1:52199000,1,NA
1:52202000,1,NA
1:52224000,1,NA
1:5232000,1,NA
1:52624000,1,NA
1:54435000,1,NA
1:52695000,1,NA
1:52782000,1,NA
1:52824000,1,NA
1:53794000,1,NA
1:53795000,1,NA
1:53846000,1,NA
1:54083000,1,NA
1:59914000,1,NA
1:60023000,1,NA
1:52152000,1,NA
1:51788000,1,NA
1:74424000,1,NA
1:52496000,1,NA
1:58502000,1,NA
1:58561000,1,NA
1:58562000,1,NA
1:58752000,1,NA
1:55024000,1,NA
1:58794000,1,NA
1:58797000,1,NA
1:58924000,1,NA
1:58939000,1,NA
1:59033000,1,NA
1:59202000,1,NA
1:59525000,1,NA
1:55167000,1,NA
1:54684000,1,NA
1:59915000,1,NA
1:74778000,1,NA
1:66869000,1,NA
1:55374000,1,NA
1:6344000,1,NA
1:60522000,1,NA
1:60940000,1,NA
1:61763000,1,NA
1:62681000,1,NA
1:62857000,1,NA
1:63086000,1,NA
