ids	SRR33470049_nocondition_nobatch
ENSMUST00000003121_ENSMUSG00000003037	3.0
ENSMUST00000003123_ENSMUSG00000003039	18.0
ENSMUST00000003156_ENSMUSG00000003072	78.0
ENSMUST00000003183_ENSMUSG00000003099	18.0
ENSMUST00000003207_ENSMUSG00000003123	6.0
ENSMUST00000003284_ENSMUSG00000003184	19.0
ENSMUST00000003386_ENSMUSG00000003299	22.0
ENSMUST00000003436_ENSMUSG00000003346	41.0
ENSMUST00000003450_ENSMUSG00000003360	6.0
ENSMUST00000003512_ENSMUSG00000003420	50.0
ENSMUST00000003513_ENSMUSG00000003421	4.0
ENSMUST00000003521_ENSMUSG00000003429	209.0
ENSMUST00000003536_ENSMUSG00000003444	11.0
ENSMUST00000003550_ENSMUSG00000003458	20.0
ENSMUST00000003569_ENSMUSG00000003477	13.0
ENSMUST00000003572_ENSMUSG00000029777	25.0
ENSMUST00000003575_ENSMUSG00000031799	73.0
ENSMUST00000003612_ENSMUSG00000003518	8.0
ENSMUST00000003622_ENSMUSG00000003528	145.0
ENSMUST00000003635_ENSMUSG00000003541	12.0
ENSMUST00000003645_ENSMUSG00000003549	12.0
ENSMUST00000003687_ENSMUSG00000021253	11.0
ENSMUST00000003808_ENSMUSG00000038508	4.0
ENSMUST00000003818_ENSMUSG00000003721	9.0
ENSMUST00000003857_ENSMUSG00000089832	7.0
ENSMUST00000003860_ENSMUSG00000003762	6.0
ENSMUST00000003870_ENSMUSG00000025025	3.0
ENSMUST00000003911_ENSMUSG00000003813	3.0
ENSMUST00000003912_ENSMUSG00000003814	152.0
ENSMUST00000004050_ENSMUSG00000003948	257.0
ENSMUST00000004054_ENSMUSG00000022905	5.0
ENSMUST00000004057_ENSMUSG00000003955	38.0
ENSMUST00000004072_ENSMUSG00000003970	235.0
ENSMUST00000004134_ENSMUSG00000004032	84.0
ENSMUST00000004137_ENSMUSG00000004035	22.0
ENSMUST00000004172_ENSMUSG00000004070	23.0
ENSMUST00000004173_ENSMUSG00000004071	7.0
ENSMUST00000004200_ENSMUSG00000004096	24.0
ENSMUST00000004206_ENSMUSG00000070319	36.0
ENSMUST00000004208_ENSMUSG00000004105	7.0
ENSMUST00000004232_ENSMUSG00000074207	125.0
ENSMUST00000004379_ENSMUSG00000004268	6.0
ENSMUST00000004381_ENSMUSG00000004270	21.0
ENSMUST00000004389_ENSMUSG00000072772	97.0
ENSMUST00000004396_ENSMUSG00000004285	63.0
ENSMUST00000004507_ENSMUSG00000004393	9.0
ENSMUST00000004508_ENSMUSG00000004394	33.0
ENSMUST00000004554_ENSMUSG00000012848	69.0
ENSMUST00000004560_ENSMUSG00000004446	5.0
ENSMUST00000004565_ENSMUSG00000004451	31.0
ENSMUST00000004574_ENSMUSG00000004460	5.0
ENSMUST00000004683_ENSMUSG00000004567	19.0
